"zip","city","county","population"
62644,"Havana","Mason County",4615
60472,"Robbins","Cook County",4563
62265,"New Baden","Clinton County",4555
61745,"Heyworth","McLean County",4542
61911,"Arthur","Moultrie County",4508
61568,"Tremont","Tazewell County",4483
60165,"Stone Park","Cook County",4482
61846,"Georgetown","Vermilion County",4467
62293,"Trenton","Clinton County",4433
60195,"Schaumburg","Cook County",4397
61883,"Westville","Vermilion County",4384
61348,"Oglesby","LaSalle County",4375
61880,"Tolono","Champaign County",4367
61755,"Mackinaw","Tazewell County",4364
61752,"Le Roy","McLean County",4332
62420,"Casey","Clark County",4299
61025,"East Dubuque","Jo Daviess County",4294
62033,"Gillespie","Macoupin County",4294
60552,"Somonauk","DeKalb County",4285
61275,"Port Byron","Rock Island County",4253
62411,"Altamont","Effingham County",4249
60936,"Gibson City","Ford County",4246
62285,"Smithton","St. Clair County",4239
62239,"Dupo","St. Clair County",4232
60456,"Hometown","Cook County",4215
62902,"Carbondale","Williamson County",4135
61738,"El Paso","Woodford County",4099
62204,"East Saint Louis","St. Clair County",4055
61063,"Pecatonica","Winnebago County",4011
62466,"Sumner","Lawrence County",4001
61074,"Savanna","Carroll County",3962
61448,"Knoxville","Knox County",3947
60151,"Maple Park","Kane County",3888
62016,"Carrollton","Greene County",3882
60071,"Richmond","McHenry County",3851
61546,"Manito","Tazewell County",3849
60606,"Chicago","Cook County",3840
61410,"Abingdon","Knox County",3838
62690,"Virden","Macoupin County",3838
61048,"Lena","Stephenson County",3786
61064,"Polo","Ogle County",3757
62467,"Teutopolis","Effingham County",3710
62014,"Bunker Hill","Macoupin County",3669
60421,"Elwood","Will County",3649
62558,"Pawnee","Sangamon County",3639
61054,"Mount Morris","Ogle County",3610
61360,"Seneca","LaSalle County",3610
62613,"Athens","Menard County",3598
61559,"Princeville","Peoria County",3595
62321,"Carthage","Hancock County",3576
61547,"Mapleton","Peoria County",3562
62060,"Madison","Madison County",3558
62858,"Louisville","Clay County",3554
61536,"Hanna City","Peoria County",3503
62535,"Forsyth","Macon County",3502
60301,"Oak Park","Cook County",3475
61019,"Davis","Stephenson County",3461
62806,"Albion","Edwards County",3436
62341,"Hamilton","Hancock County",3433
62640,"Girard","Macoupin County",3391
61310,"Amboy","Lee County",3347
60541,"Newark","Kendall County",3342
62075,"Nokomis","Montgomery County",3330
60940,"Grant Park","Kankakee County",3322
60518,"Earlville","LaSalle County",3289
61542,"Lewistown","Fulton County",3280
62080,"Ramsey","Fayette County",3255
61528,"Edwards","Peoria County",3212
62447,"Neoga","Cumberland County",3210
61084,"Stillman Valley","Ogle County",3201
62018,"Cottage Hills","Madison County",3184
